RankMethod,down,ydstogo,yards_gained,first_down_rush,first_down_pass,first_down_penalty,fourth_down_failed,interception,safety,fumble_lost,play_id
Touchdown,2.0,10,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3834
Touchdown,3.0,4,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3021
Touchdown,3.0,2,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,516
Touchdown,2.0,7,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1986
Touchdown,1.0,10,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2201
Touchdown,1.0,10,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,760
Touchdown,1.0,10,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2971
Touchdown,2.0,5,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,830
Touchdown,2.0,4,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1661
Touchdown,2.0,4,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1407
Touchdown,4.0,1,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2683
Touchdown,2.0,15,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,679
Touchdown,3.0,3,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3508
Touchdown,2.0,10,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1561
Touchdown,2.0,10,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,312
Touchdown,2.0,10,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1918
Touchdown,2.0,9,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3560
Touchdown,2.0,7,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2569
Touchdown,1.0,10,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,190
Touchdown,1.0,10,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2349
Touchdown,1.0,10,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2879
Touchdown,2.0,5,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3208
Touchdown,2.0,2,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2752
Touchdown,2.0,15,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2908
Touchdown,1.0,20,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3028
Touchdown,3.0,3,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,845
Touchdown,3.0,3,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1765
Touchdown,3.0,3,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3958
Touchdown,2.0,13,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3587
Touchdown,2.0,10,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3211
Touchdown,2.0,22,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2448
Touchdown,1.0,10,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2686
Touchdown,1.0,10,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3925
Touchdown,1.0,10,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1539
Touchdown,1.0,10,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1318
Touchdown,1.0,10,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,287
